kanji,english,explanation,primitive
諭,rebuke,"The stern tone of a **rebuke** is seen here in the image of _words_ spoken at a _meeting_ of _butchers_ (See frame 307) waving their choppers at one another and  ""cutting one another down"" as only _butchers_ can.",
式,style,"Take **style** in its sense of some fashion design or model. Then let the element _arrow_ and _craft_ stand for the well-known **style** of shirts known as  "" _Arrow_ shirts "" because of the little _arrow_ sewn on each one.",
試,test,"When a manufacturer produces a new _style_ for the market, the first thing that is done is to run a **test** on consumers, asking them to _speak_ their opinions frankly about the product. Never mind the anachronism (the kanji was there well before our capitalistic market system) if it helps you remember.",
弐,II (two),"We use the Roman numeral II here to stress that this kanji is an older form of the kanji for _two_. Think of _two_ arrows in a _quiver_ , standing up like the numeral II.",
域,range,"From its original meaning of a defined area or zone, a **range** has also come to mean a grazing _land_ where cowboys roam and do whatever it is they do with cows. When the herds have all been driven to market, there is a great homecoming _fiesta_ like that pictured here. As soon as the cowboys come home, home on the **range** , the first thing they do is kiss the ground (the _mouth_ on the _floor_ ), and then get on with the _fiesta_.",
賊,burglar,"From a **burglar's** point of view, a _fiesta_ is an occasion to takeout the old lock picking _needle_ and break into the unattended safe filled with the family _shells_ (the old form of money, as we saw in frames 84 and 206).",
栽,plantation,On a fruit **plantation** it is the _trees_ that one is particularly grateful for at the time of _Thanksgiving_. Imagine yourself inviting a few representative _trees_ from the fields and orchards to join you around the table to give thanks.,
載,load,One **loads** bales on a wagon or _cart_ in preparation for the great Hay Ride that follows the _Thanksgiving_ dinner each year.,
茂,overgrown,"The sense of the key word **overgrown** is of something growing luxuriously, though not necessarily in excess - in this case a whole _parade_ of weeds (outcast   _flowers_ ). By way of exception, the _flowers_ take their normal place over the enclosure.",
戚,relatives,"If you think of a _parade_ of particularly disagreeable **relatives** , it should not be hard to imagine them as large bodies with _little_ pea-brains _above_.",
成,turn into,"Let the phrase "" **turn into** "" suggest some sort of a magical change. What happens here is that the _parade_ marching down main street **turns into** a _dagger_ -throwing bout between competing bands. Note how only one stroke has to be added to make the change.",
城,castle,"In this frame, we see a mound of _dirt_ that is being _turned into_ a **castle** (the way you may have done as a child playing on the beach).",
誠,sincerity,The sure sign of **sincerity** is that one's mere _words_ are _turned into_ deeds.,
威,intimidate,"Here we see a _march_ of _women_ demonstrating on behalf of equal rights, something extremely **intimidating** to the male chauvinist population.",
滅,destroy,"Picture a _march_ of _flames_ demonstrating against the Fire Department for their right to **destroy** , but being doused with _water_ by the police riot squads.",
減,dwindle,"A group of unquenchable _mouths_ sets out on a _march_ across the country, drinking _water_ wherever they find it until the _water_ supply has **dwindled** to a trickle, triggering a national disaster.",
蔑,revile,"The verbal abuse involved in **reviling** those who do not deserve it can be compared to a _march of flowers_ in full boom having an _eyeball_ of nastiness cast over them (literally, of course).",
桟,scaffold,"Prior to the use of metal, _trees_ were once cut down and bound together for use as **scaffolding** material. In the case of this kanji, what is being constructed is not a skyscraper but a simple _float_.",
銭,coin,Those special _gold_ -colored tokens minted each year for the Mardi Gras and thrown into the crowds from people on the _floats_ give us the kanji for **coins**.,
浅,shallow,An entourage of _floats_ going from one town to the next must always seek a **shallow** place to cross the _water_. Try to picture what happens if they don't.,
止,stop,"The character for **stop** is easiest to learn as a pictograph, though you have to take a moment to see it. Take it as a rather crude drawing of a footprint: the first 3 strokes represent the front of the foot and the last the heel. The big toe (stroke 2 sticking out to the right) on the right indicates that this is a left foot.","* Although the meaning of _stop_ will be retained, we will return often to the pictographic meaning of _footprint_."
歩,walk,_Footprints_ that follow one another a _few_ at a time indicate **walking**.,
渉,ford,To **ford** a body of _water_ means to _walk_ across it.,
